SKU,PRICE,QUANTITY
GL0077,381.988,1
GL0390,465.988,1
GL0269,429.988,1
GL0370,788.8,1
GL0320,705.988,1
GL0380,669.988,1
GL0431,441.988,1
GL0433,441.988,1
GL0478,848.8,1
GL0416,429.988,1
GL0389,429.988,1
GL0259,428.8,1
GL0303,788.8,1
GL0471,788.8,1
GL0316,729.988,1
GL0453,369.988,1
GL0454,369.988,1
GL0318,728.8,1
GL0420,513.988,1
GL1056,248.8,1
GL0425,465.988,1
GL0455,392.8,1
GL0092,428.8,1
GL0295,428.8,1
GL0387,405.988,1
GL0173,381.988,1
GL0427,345.988,1
GL0352,248.8,1
GL0451,248.8,1
GL1034,248.8,1
GL1055,248.8,1
GL1057,248.8,1
GL1018,248.8,1
GL0476,848.8,1
GL0466,848.8,1
GL0477,849.988,1
GL0464,848.8,1
GL0412,788.8,1
GL0410,788.8,1
GL0424,405.988,1
GL0470,848.8,1
GL0421,604,1
GL0467,848.8,1
GL0473,848.8,1
GL0439,248.8,1
GL0469,788.8,1
GL0465,788.8,1
GL1053,248.8,1
GL1041,248.8,1
GL1040,248.8,1
GL1039,248.8,1
GL1037,248.8,1
GL1036,248.8,1
GL1035,248.8,1
GL1032,248.8,1
GL1031,248.8,1
GL1028,248.8,1
GL1027,248.8,1
GL1026,248.8,1
GL1025,248.8,1
GL0475,848.8,1
GL0474,848.8,1
GL0472,848.8,1
GL0452,248.8,1
GL0449,260.8,1
GL0438,248.8,1
GL0437,248.8,1
GL0436,248.8,1
GL0435,248.8,1
GL0450,249.988,1
GL0432,428.8,1
GL0418,429.988,1
GL0414,848.8,1
GL0413,848.8,1
GL0415,848.8,1
GL0379,908.8,1
GL0378,788.8,1
GL0377,788.8,1
GL0376,788.8,1
GL0383,788.8,1
GL0382,788.8,1
GL0381,705.988,1
GL0304,848.8,1
GL0323,489.988,1
GL0321,705.988,1
GL0308,848.8,1
GL0307,788.8,1
GL0328,405.988,1
GL1017,248.8,1
GL1016,248.8,1
GL1015,248.8,1
GL0319,669.988,1
GL0375,465.988,1
GL0317,728.8,1
GL0305,848.8,1
GL0367,248.8,1
123,100.00,0
456,100.00,0
789,100.00,0
